country,founded,id,industry,linkedin_url,locality,name,region,size,website,country_iso2
united kingdom,2022,snappy-gurus,computer games,linkedin.com/company/snappy-gurus,,snappy gurus,,1-10,linktr.ee/snappygurus,GB
south korea,2022,metaramaio,computer games,linkedin.com/company/metaramaio,,metarama,gyeonggi-do,11-50,metarama.io,KR
argentina,2022,fanny-pack-studios-sa,computer games,linkedin.com/company/fanny-pack-studios-sa,federal,fanny pack studios sa,entre rios,1-10,,AR
colombia,2022,aristas-studios,computer games,linkedin.com/company/aristas-studios,medellin,aristas studios,antioquia,1-10,aristasstudiosdesa.wixsite.com/my-site,CO
,2022,golf-day-betting,computer games,linkedin.com/company/golf-day-betting,,wedge golf day betting app,,1-10,golfdaybetting.com,
turkey,2022,horda-yazılım,computer games,linkedin.com/company/horda-yazılım,çankaya,horda yazılım,ankara,11-50,horda.games,TR
,2022,smashbuttongames,computer games,linkedin.com/company/smashbuttongames,,smash button games,,1-10,smashbuttongames.com,
,2022,crx-entertainment,computer games,linkedin.com/company/crx-entertainment,,crx entertainment,,11-50,crx-entertainment.nl,
france,2022,saltitude-studio,computer games,linkedin.com/company/saltitude-studio,toulouse,saltitude studio,occitanie,1-10,,FR
portugal,2022,tydwave-interactive,computer games,linkedin.com/company/tydwave-interactive,,tydwave interactive,leiria,1-10,,PT
,2022,super-fast-cat,computer games,linkedin.com/company/super-fast-cat,,super fast cat,,1-10,superfastcat.com,
united kingdom,2022,lightsouls,computer games,linkedin.com/company/lightsouls,london,lightsouls dao,england,1-10,lightsoulsdao.com,GB
spain,2022,komorebifiction,computer games,linkedin.com/company/komorebifiction,ferrol,komorebi fiction,a coruña,1-10,komorebifiction.itch.io,ES
,2022,human-sapling,computer games,linkedin.com/company/human-sapling,,human sapling,,1-10,,
switzerland,2022,influencerapps,computer games,linkedin.com/company/influencerapps,baar,influencerapps,zug,11-50,influencerapps.io,CH
turkey,2022,kujiraproductions,computer games,linkedin.com/company/kujiraproductions,,kujira productions,istanbul,1-10,kujiraproductions.com,TR
,2022,hemptopiagame,computer games,linkedin.com/company/hemptopiagame,,hemptopia game,,1-10,hemptopiagame.io,
united states,2022,plant-based-audio,computer games,linkedin.com/company/plant-based-audio,seattle,plant based audio,washington,1-10,,US
pakistan,2022,zorive,computer games,linkedin.com/company/zorive,lahore,zorive,punjab,11-50,zorive.io,PK
serbia,2022,artemi-tech,computer games,linkedin.com/company/artemi-tech,belgrade,artemi,central serbia,1-10,artemi.tech,RS
netherlands,2022,ghoul-school,computer games,linkedin.com/company/ghoul-school,amsterdam,ghoul school,noord-holland,1-10,,NL
germany,2022,dynamitestudios,computer games,linkedin.com/company/dynamitestudios,hollenstedt,dynamite studios gmbh,lower saxony,1-10,dynamitestudios.de,DE
malaysia,2022,rewardezzy,computer games,linkedin.com/company/rewardezzy,,rewardezzy,kuala lumpur,1-10,,MY
united kingdom,2022,buildersbrew,computer games,linkedin.com/company/buildersbrew,northampton,buildersbrew,northamptonshire,1-10,buildersbrew.net,GB
israel,2022,evrgaming,computer games,linkedin.com/company/evrgaming,,evrgaming,tel aviv,1-10,,IL
sweden,2022,gain-power,computer games,linkedin.com/company/gain-power,falun,gain power,dalarna,1-10,,SE
poland,2022,rubens-games,computer games,linkedin.com/company/rubens-games,poznan,rubens games,wielkopolskie,1-10,,PL
poland,2022,setty2k,computer games,linkedin.com/company/setty2k,katowice,setty,slaskie,1-10,,PL
united kingdom,2022,coatsi-chess,computer games,linkedin.com/company/coatsi-chess,,coatsi chess,saintrling,1-10,,GB
,2022,socks-off-studios,computer games,linkedin.com/company/socks-off-studios,,socks off studios,,1-10,,
italy,2022,gamesnext,computer games,linkedin.com/company/gamesnext,treviso,gamesnext,veneto,1-10,gamesnext.it,IT
canada,2022,moonshot-art-ltd,computer games,linkedin.com/company/moonshot-art-ltd,vancouver,moonshot art ltd.,british columbia,1-10,moonshotart.ca,CA
poland,2022,codebusters-studio,computer games,linkedin.com/company/codebusters-studio,warsaw,codebusters studio,mazowieckie,11-50,codebustersstudio.com,PL
,2022,west-forge,computer games,linkedin.com/company/west-forge,,west forge,,1-10,westforge.online,
united kingdom,2022,ster-studio,computer games,linkedin.com/company/ster-studio,london,ster studio,greater london,1-10,,GB
iran,2022,magiccryptonft,computer games,linkedin.com/company/magiccryptonft,tabriz,magiccryptonft,east azerbaijan,1-10,,IR
malaysia,2022,virtuoskl,computer games,linkedin.com/company/virtuoskl,,virtuos kuala lumpur,kuala lumpur,51-200,,MY
germany,2022,konsolegame,computer games,linkedin.com/company/konsolegame,,konsole game labs,berlin,1-10,,DE
turkey,2022,exon-game-studios,computer games,linkedin.com/company/exon-game-studios,,exon game studios,istanbul,1-10,,TR
kuwait,2022,three-towers,computer games,linkedin.com/company/three-towers,,morning crescent,,1-10,3towersgames.com,KW
turkey,2022,rubik-games,computer games,linkedin.com/company/rubik-games,,rubik games,istanbul,11-50,rubik.games,TR
,2022,ocee-games,computer games,linkedin.com/company/ocee-games,,ocee games,,1-10,oceegames.com,
,2022,hype-games-tr,computer games,linkedin.com/company/hype-games-tr,,hype games,,1-10,,
spain,2022,collabout,computer games,linkedin.com/company/collabout,barcelona,collabout,catalonia,1-10,collabout.com,ES
spain,2022,good-game-generation-gggen,computer games,linkedin.com/company/good-game-generation-gggen,barcelona,good game generation (gggen),catalonia,1-10,goodgamegen.com,ES
france,2022,studio-prima,computer games,linkedin.com/company/studio-prima,chatillon,studio prima,ile-de-france,1-10,studioprima.itch.io,FR
finland,2022,phantom-gamelabs,computer games,linkedin.com/company/phantom-gamelabs,helsinki,phantom gamelabs,uusimaa,1-10,phantomgamelabs.com,FI
turkey,2022,antikgameworkshop,computer games,linkedin.com/company/antikgameworkshop,,antik game workshop,istanbul,11-50,linktr.ee/antikgameworkshop,TR
brazil,2022,izibola,computer games,linkedin.com/company/izibola,florianópolis,izibola tecnologia esportiva,santa catarina,11-50,izibola.app,BR
united arab emirates,2022,search-for-animera,computer games,linkedin.com/company/search-for-animera,,search for animera,dubai,1-10,animera.world,AE
spain,2022,artilogics,computer games,linkedin.com/company/artilogics,,artilogics game studio girona,,1-10,artilogics.com,ES
brazil,2022,saphire-game-studio,computer games,linkedin.com/company/saphire-game-studio,,saphire game studio,,1-10,,BR
united states,2022,sefiny,computer games,linkedin.com/company/sefiny,jacksonville,sefiny,florida,11-50,,US
singapore,2022,crypsendo,computer games,linkedin.com/company/crypsendo,singapore,crypsendo,central singapore,1-10,crypsendotoken.com,SG
,2022,impact2b,computer games,linkedin.com/company/impact2b,,impact2b,,1-10,impact2b.com,
czechia,2022,overmind-game-studios,computer games,linkedin.com/company/overmind-game-studios,prague,overmind game studios,praha,11-50,schneemann-game.com,CZ
france,2022,cottage-club-dev,computer games,linkedin.com/company/cottage-club-dev,laval,cottage club,pays de la loire,1-10,cottageclub.dev,FR
spain,2022,game-motion,computer games,linkedin.com/company/game-motion,palma,game motion,balearic islands,11-50,,ES
united states,2022,sprocketgames,computer games,linkedin.com/company/sprocketgames,santa monica,sprocket games,california,1-10,sprocket.games,US
italy,2022,gg-ally,computer games,linkedin.com/company/gg-ally,naples,gg-ally,campania,1-10,ggally.net,IT
united kingdom,2022,replicate8,computer games,linkedin.com/company/replicate8,london,replic8,greater london,1-10,clips.fit,GB
united states,2022,project-rolescape,computer games,linkedin.com/company/project-rolescape,derby,project rolescape,connecticut,1-10,rolescape.weebly.com,US
,2022,big-d-studio,computer games,linkedin.com/company/big-d-studio,,big d studio,,1-10,,
united arab emirates,2022,playfenixgames,computer games,linkedin.com/company/playfenixgames,,fenix games,dubai,1-10,,AE
,2022,creature-friends,computer games,linkedin.com/company/creature-friends,,creature friends,,1-10,,
vietnam,2022,npro-jsc,computer games,linkedin.com/company/npro-jsc,hanoi,neon production jsc,ha noi,11-50,,VN
new zealand,2022,teaate,computer games,linkedin.com/company/teaate,,teaate,wellington,1-10,teaatestudio.com,NZ
sri lanka,2022,mogo-games,computer games,linkedin.com/company/mogo-games,colombo,mogo games,western,11-50,,LK
india,2022,tinytech-studio-pvt-ltd,computer games,linkedin.com/company/tinytech-studio-pvt-ltd,,tinytech studio pvt ltd,haryana,1-10,tinytechstudio.com,IN
united states,2022,lair-gg,computer games,linkedin.com/company/lair-gg,,lair,new york,1-10,,US
singapore,2022,mvp-guild,computer games,linkedin.com/company/mvp-guild,singapore,mvp guild,central singapore,1-10,discord.gg/mvpguild,SG
united states,2022,darkcrest-studios-llc,computer games,linkedin.com/company/darkcrest-studios-llc,camp hill,darkcrest studios llc,pennsylvania,1-10,,US
kuwait,2022,houseoflords,computer games,linkedin.com/company/houseoflords,kuwait city,house of lords,al asimah,1-10,,KW
brazil,2022,zerox-game-studios,computer games,linkedin.com/company/zerox-game-studios,manaus,zerox game studios,amazonas,11-50,zeroxgames.com,BR
serbia,2022,jinnius,computer games,linkedin.com/company/jinnius,belgrade,jinnius,central serbia,1-10,jinnius.studio,RS
france,2022,loomio-games,computer games,linkedin.com/company/loomio-games,paris,loomio,ile-de-france,1-10,,FR
pakistan,2022,gēmuarīna,computer games,linkedin.com/company/gēmuarīna,lahore,gēmuarīna,punjab,1-10,,PK
turkey,2022,blackcatstudios,computer games,linkedin.com/company/blackcatstudios,,black cat studios,i̇zmir,1-10,,TR
united kingdom,2022,village-studio-games,computer games,linkedin.com/company/village-studio-games,london,village studio games,greater london,1-10,playken.xyz,GB
,2022,teamlemonica,computer games,linkedin.com/company/teamlemonica,,lemonica game studio,,1-10,teamlemonica.com,
united states,2022,all-out-gaming-experience,computer games,linkedin.com/company/all-out-gaming-experience,jonesboro,all out gaming experience,georgia,1-10,,US
peru,2022,warriors-team-latam,computer games,linkedin.com/company/warriors-team-latam,lima,warriors team latam,lima,1-10,,PE
indonesia,2022,sekuya,computer games,linkedin.com/company/sekuya,,sekuya,jakarta,201-500,sekuya.io,ID
canada,2022,ponderingpixel,computer games,linkedin.com/company/ponderingpixel,burnaby,pondering pixel,british columbia,1-10,ponderingpixel.com,CA
united states,2022,moonflowerteam,computer games,linkedin.com/company/moonflowerteam,seattle,moonflower,washington,1-10,moonflower.gg,US
indonesia,2022,the-farmers-studio,computer games,linkedin.com/company/the-farmers-studio,malang,the farmers studio,jawa timur,1-10,,ID
latvia,2022,ridoapp,computer games,linkedin.com/company/ridoapp,,rido,riga,1-10,,LV
vietnam,2022,tiger-games,computer games,linkedin.com/company/tiger-games,thanh xuan,tiger games,,11-50,tigergames.vn,VN
united kingdom,2022,bxld-space,computer games,linkedin.com/company/bxld-space,southgate,bxld space 🔺,swansea,1-10,,GB
poland,2022,dream-eater-interactive,computer games,linkedin.com/company/dream-eater-interactive,oleśnica,dream eater interactive,lower silesia,11-50,dreameaterinteractive.com,PL
united kingdom,2022,studionefce,computer games,linkedin.com/company/studionefce,leeds,studio nefce,leeds,1-10,,GB
,2022,sportofi,computer games,linkedin.com/company/sportofi,,sportofi,,11-50,,
,2022,seewhat-art,computer games,linkedin.com/company/seewhat-art,,seewhat.art,,1-10,seewhat.art,
belgium,2022,oisoi-studio,computer games,linkedin.com/company/oisoi-studio,,oisoi studio,,1-10,paintingvr.xyz,BE
,2022,spacecatch,computer games,linkedin.com/company/spacecatch,,spacecatch,,11-50,spacecatch.io,
united kingdom,2022,eddify-uk,computer games,linkedin.com/company/eddify-uk,london,eddify,greater london,1-10,eddify.co.uk,GB
,2022,wagmi-games,computer games,linkedin.com/company/wagmi-games,,wagmi games,,1-10,wagmigame.io,
,2022,astro-must-game,computer games,linkedin.com/company/astro-must-game,,astro must game,,11-50,astromust.com,
india,2022,lone-wolf-gaming,computer games,linkedin.com/company/lone-wolf-gaming,bhilai,lone wolf studio,chhattisgarh,1-10,,IN
,2022,braumvault,computer games,linkedin.com/company/braumvault,,braumvault,,11-50,,
netherlands,2022,sportbaseio,computer games,linkedin.com/company/sportbaseio,amsterdam,sportbase,noord-holland,1-10,sportbase.io,NL
indonesia,2022,pt-arsamadha-mitra-indonesia,computer games,linkedin.com/company/pt-arsamadha-mitra-indonesia,jombang,pt. arsamadha mitra indonesia,jawa timur,1-10,,ID
,2022,echgames,computer games,linkedin.com/company/echgames,,echpochmak games,,11-50,,
cyprus,2022,playcidity-ltd,computer games,linkedin.com/company/playcidity-ltd,,playcidity ltd,limassol,11-50,playcidity.com,CY
turkey,2022,axhorn-games,computer games,linkedin.com/company/axhorn-games,ankara,axhorn games,ankara,11-50,,TR
turkey,2022,redearth-entertainment,computer games,linkedin.com/company/redearth-entertainment,,redearth entertainment,istanbul,1-10,,TR
india,2022,gemaverse,computer games,linkedin.com/company/gemaverse,ahmadabad,gemaverse,gujarat,1-10,gemaverse.xyz,IN
,2022,apocablyss,computer games,linkedin.com/company/apocablyss,,apocablyss,,1-10,apocablyss.com,
canada,2022,iron-fox-games,computer games,linkedin.com/company/iron-fox-games,charlottetown,iron fox games,prince edward island,1-10,ironfoxgames.com,CA
russia,2022,gamix,computer games,linkedin.com/company/gamix,,gamix,,1-10,thegamix.com,RU
france,2022,anklebreaker-studio,computer games,linkedin.com/company/anklebreaker-studio,paris,anklebreaker studio,ile-de-france,1-10,anklebreaker-studio.com,FR
australia,2022,shadow-entertainment-and-gaming,computer games,linkedin.com/company/shadow-entertainment-and-gaming,,shadow entertainment,,1-10,linktr.ee/clansmanguildwars,AU
india,2022,aim-mgit,computer games,linkedin.com/company/aim-mgit,hyderabad,aim mgit,telangana,51-200,,IN
singapore,2022,glory-games-worlds,computer games,linkedin.com/company/glory-games-worlds,singapore,glory games worlds,central singapore,1-10,glorygames.world,SG
united states,2022,moral-entertainment,computer games,linkedin.com/company/moral-entertainment,,moral entertainment,new york,1-10,moralentertainment.io,US
azerbaijan,2022,thekmgames,computer games,linkedin.com/company/thekmgames,baku,the km games,baki,1-10,youtube.com/@thekmgames,AZ
colombia,2022,exonium-lab-sas,computer games,linkedin.com/company/exonium-lab-sas,,exonium lab sas,santander,11-50,metalboxgame.com,CO
cyprus,2022,nearspacestudio,computer games,linkedin.com/company/nearspacestudio,kalavaso,nearspace studio,larnaca,1-10,artstation.com/nearspacestudio,CY
pakistan,2022,game-division-llc,computer games,linkedin.com/company/game-division-llc,lahore,game division,punjab,1-10,,PK
poland,2022,raccoonplanet,computer games,linkedin.com/company/raccoonplanet,wrocław,raccoon planet,lower silesia,1-10,raccoon-planet.com,PL
spain,2022,unav-esports,computer games,linkedin.com/company/unav-esports,pamplona,unav esports,navarre,51-200,linktr.ee/unavesports,ES
spain,2022,b7team,computer games,linkedin.com/company/b7team,barcelona,b7 team,catalonia,1-10,,ES
,2022,rennert-games,computer games,linkedin.com/company/rennert-games,,rennert games,,1-10,pontuspettersson.com,
,2022,senseisudoku,computer games,linkedin.com/company/senseisudoku,,sensei sudoku,,1-10,senseisudoku.com,
georgia,2022,studio-araki,computer games,linkedin.com/company/studio-araki,,studio araki,t'bilisi,1-10,studioaraki.com,GE
united states,2022,metastreamlive,computer games,linkedin.com/company/metastreamlive,wilmington,metastream™,delaware,1-10,metastream.live,US
united states,2022,espn-sports,computer games,linkedin.com/company/espn-sports,los angeles,espn+,california,1-10,drectstream.com,US
